"id","church_id","name","code","description","sequence"
"1007534b-69a8-4591-96c3-2ce458fb5a90","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b","Gereja","G","","1"
"28528d0d-341e-4bad-b0f8-98bdf8cd6796","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b","R. Kasih","GKPD","","3"
"487d3bb7-ab5b-4d99-a1a3-a5e225f4c210","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b","Gereja (SPMBG)","G","","1"
"90c908d9-3843-4fb3-aedf-b99911b604e9","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b","Balkon (SPMBG)","B","","2"
"91fb9a88-f6ac-4612-aa0c-e78e6099432a","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b","Aula","A","","2"
"b260064a-d1bd-4f38-b54b-14e5d7f8128b","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b","Aula (SPMBG)","A","","3"
"edde7d87-2828-43ed-a2d5-cc29d3d7158b","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b","R. Sukacita","GKP2","","5"
"f483d317-256b-461c-afd7-3efcf9296849","8f7e6d5c-4b3a-4948-a7f6-1c2d3e4f5a6b","R. Kesabaran","GKP1","","4"
